playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,bbrefID,finalGame,retroID,deathDate,birthDate
abbotda01,1862.0,3.0,16.0,Portage,USA,OH,1930.0,2.0,13.0,USA,MI,Ottawa Lake,Dan,Abbott,Leander Franklin,190.0,71.0,R,R,1890-04-19,abbotda01,1890-05-23,abbod101,1930-02-13,1862-03-16
abbotfr01,1874.0,10.0,22.0,Versailles,USA,OH,1935.0,6.0,11.0,USA,CA,Los Angeles,Fred,Abbott,Harry Frederick,180.0,70.0,R,R,1903-04-25,abbotfr01,1905-09-20,abbof101,1935-06-11,1874-10-22
abbotgl01,1951.0,2.0,16.0,Little Rock,USA,AR,,,,,,,Glenn,Abbott,William Glenn,200.0,78.0,R,R,1973-07-29,abbotgl01,1984-08-08,abbog001,,1951-02-16
abbotje01,1972.0,8.0,17.0,Atlanta,USA,GA,,,,,,,Jeff,Abbott,Jeffrey William,190.0,74.0,R,L,1997-06-10,abbotje01,2001-09-29,abboj002,,1972-08-17
abbotji01,1967.0,9.0,19.0,Flint,USA,MI,,,,,,,Jim,Abbott,James Anthony,200.0,75.0,L,L,1989-04-08,abbotji01,1999-07-21,abboj001,,1967-09-19
abbotku01,1969.0,6.0,2.0,Zanesville,USA,OH,,,,,,,Kurt,Abbott,Kurt Thomas,180.0,71.0,R,R,1993-09-07,abbotku01,2001-04-13,abbok002,,1969-06-02
abbotky01,1968.0,2.0,18.0,Newburyport,USA,MA,,,,,,,Kyle,Abbott,Lawrence Kyle,200.0,76.0,L,L,1991-09-10,abbotky01,1996-08-24,abbok001,,1968-02-18
abbotod01,1886.0,9.0,5.0,New Eagle,USA,PA,1933.0,4.0,13.0,USA,DC,Washington,Ody,Abbott,Ody Cleon,165.0,69.0,L,R,1910-09-10,abbotod01,1910-10-15,abboo101,1933-04-13,1886-09-05
abbotpa01,1967.0,9.0,15.0,Van Nuys,USA,CA,,,,,,,Paul,Abbott,Paul David,185.0,75.0,R,R,1990-08-21,abbotpa01,2004-08-07,abbop001,,1967-09-15
aberal01,1927.0,7.0,31.0,Cleveland,USA,OH,1993.0,5.0,20.0,USA,OH,Garfield Heights,Al,Aber,Albert Julius,195.0,74.0,L,L,1950-09-15,aberal01,1957-09-11,abera101,1993-05-20,1927-07-31
abercda01,1850.0,1.0,2.0,Fort Towson,USA,OK,1939.0,11.0,11.0,USA,PA,Philadelphia,Frank,Abercrombie,Francis Patterson,,,,,1871-10-21,abercda01,1871-10-21,aberd101,1939-11-11,1850-01-02
abercre01,1980.0,7.0,15.0,Columbus,USA,GA,,,,,,,Reggie,Abercrombie,Reginald Damascus,215.0,75.0,R,R,2006-04-04,abercre01,2008-09-28,aberr001,,1980-07-15
abernbi01,1929.0,1.0,30.0,Torrance,USA,CA,2006.0,2.0,19.0,USA,CA,Yucaipa,Bill,Abernathie,William Edward,190.0,70.0,R,R,1952-09-27,abernbi01,1952-09-27,aberb101,2006-02-19,1929-01-30
abernbr01,1977.0,9.0,23.0,Atlanta,USA,GA,,,,,,,Brent,Abernathy,Michael Brent,185.0,73.0,R,R,2001-06-25,abernbr01,2005-09-29,aberb001,,1977-09-23
abernte01,1921.0,10.0,30.0,Bynum,USA,NC,2001.0,11.0,16.0,USA,NC,Charlotte,Ted,Abernathy,Talmadge Lafayette,210.0,74.0,R,L,1942-09-19,abernte01,1944-04-29,abert102,2001-11-16,1921-10-30
abernte02,1933.0,3.0,6.0,Stanley,USA,NC,2004.0,12.0,16.0,USA,NC,Gastonia,Ted,Abernathy,Theodore Wade,215.0,76.0,R,R,1955-04-13,abernte02,1972-09-30,abert101,2004-12-16,1933-03-06
abernwo01,1915.0,2.0,1.0,Forest City,USA,NC,1994.0,12.0,5.0,USA,KY,Louisville,Woody,Abernathy,Virgil Woodrow,170.0,72.0,L,L,1946-07-28,abernwo01,1947-04-17,aberw101,1994-12-05,1915-02-01
aberscl01,1921.0,8.0,28.0,Chicago,USA,IL,1973.0,6.0,23.0,USA,CA,Vallejo,Cliff,Aberson,Clifford Alexander,200.0,72.0,R,R,1947-07-18,aberscl01,1949-05-09,aberc101,1973-06-23,1921-08-28
ablesha01,1883.0,10.0,4.0,Terrell,USA,TX,1951.0,2.0,8.0,USA,TX,San Antonio,Harry,Ables,Harry Terrell,200.0,74.0,R,L,1905-09-02,ablesha01,1911-05-05,ableh101,1951-02-08,1883-10-04
abnersh01,1966.0,6.0,17.0,Hamilton,USA,OH,,,,,,,Shawn,Abner,Shawn Wesley,190.0,73.0,R,R,1987-09-08,abnersh01,1992-10-03,abnes001,,1966-06-17
abramca01,1924.0,3.0,2.0,Philadelphia,USA,PA,1997.0,2.0,25.0,USA,FL,Fort Lauderdale,Cal,Abrams,Calvin Ross,185.0,72.0,L,L,1949-04-19,abramca01,1956-05-09,abrac101,1997-02-25,1924-03-02
abramcj01,2000.0,10.0,3.0,Alpharetta,USA,GA,,,,,,,CJ,Abrams,Paul Christopher,185.0,74.0,L,R,2022-04-08,abramcj01,,abrac001,,2000-10-03
abramge01,1897.0,11.0,9.0,Seattle,USA,WA,1986.0,12.0,5.0,USA,FL,Clearwater,George,Abrams,George Allen,170.0,69.0,R,R,1923-04-19,abramge01,1923-05-04,abrag101,1986-12-05,1897-11-09
abregjo01,1962.0,7.0,4.0,Corpus Christi,USA,TX,,,,,,,Johnny,Abrego,Johnny Ray,185.0,72.0,R,R,1985-09-04,abregjo01,1985-10-03,abrej001,,1962-07-04
abreual01,1995.0,9.0,26.0,Guayubin,D.R.,Monte Cristi,,,,,,,Albert,Abreu,Albert Enmanuel,190.0,74.0,R,R,2020-08-08,abreual01,2022-10-05,abrea001,,1995-09-26
abreubo01,1974.0,3.0,11.0,Maracay,Venezuela,Aragua,,,,,,,Bobby,Abreu,Bob Kelly,220.0,72.0,L,R,1996-09-01,abreubo01,2014-09-28,abreb001,,1974-03-11
abreubr01,1997.0,4.0,22.0,Santo Domingo,D.R.,Distrito Nacional,,,,,,,Bryan,Abreu,Bryan Enrique,225.0,73.0,R,R,2019-07-31,abreubr01,,abreb002,,1997-04-22
abreujo01,1913.0,5.0,24.0,Oakland,USA,CA,1993.0,3.0,17.0,USA,CA,Hayward,Joe,Abreu,Joseph Lawrence,160.0,68.0,R,R,1942-04-23,abreujo01,1942-07-11,abrej101,1993-03-17,1913-05-24
abreujo02,1987.0,1.0,29.0,Cienfuegos,Cuba,Cienfuegos,,,,,,,Jose,Abreu,Jose Dariel,235.0,75.0,R,R,2014-03-31,abreujo02,,abrej003,,1987-01-29
abreuju01,1985.0,4.0,8.0,San Francisco de Macoris,D.R.,Duarte,,,,,,,Juan,Abreu,Juan de Dios,185.0,72.0,R,R,2011-08-29,abreuju01,2011-09-27,abrej002,,1985-04-08
abreuto01,1984.0,11.0,13.0,Puerto Plata,D.R.,Puerto Plata,,,,,,,Tony,Abreu,Etanislao Toni,200.0,70.0,B,R,2007-05-22,abreuto01,2014-07-28,abret001,,1984-11-13
abreuwi02,1999.0,6.0,24.0,Maracaibo,Venezuela,Zulia,,,,,,,Wilyer,Abreu,Wilyer David,215.0,70.0,L,L,2023-08-22,abreuwi02,,abrew002,,1999-06-24
abreuwi01,1977.0,4.0,5.0,Cotui,D.R.,Sanchez Ramirez,,,,,,,Winston,Abreu,Winston Leonardo,170.0,74.0,R,R,2006-08-06,abreuwi01,2009-07-25,abrew001,,1977-04-05
abstebi01,1883.0,2.0,2.0,St. Louis,USA,MO,1940.0,4.0,8.0,USA,MO,St. Louis,Bill,Abstein,William Henry,185.0,72.0,R,R,1906-09-25,abstebi01,1910-06-02,abstb101,1940-04-08,1883-02-02
accarje01,1981.0,12.0,18.0,Phoenix,USA,AZ,,,,,,,Jeremy,Accardo,Jeremiah Lee,195.0,72.0,R,R,2005-05-04,accarje01,2012-09-27,accaj001,,1981-12-18
acevedo01,1994.0,3.0,6.0,Villa Los Almacigos,D.R.,Santiago Rodriguez,,,,,,,Domingo,Acevedo,Domingo Antonio,240.0,79.0,R,R,2021-06-21,acevedo01,2022-10-04,acevd001,,1994-03-06
acevejo01,1977.0,12.0,18.0,Santo Domingo,D.R.,Distrito Nacional,,,,,,,Jose,Acevedo,Jose Omar,185.0,72.0,R,R,2001-06-19,acevejo01,2005-09-29,acevj002,,1977-12-18
aceveju01,1970.0,5.0,5.0,Ciudad Juarez,Mexico,Chihuahua,,,,,,,Juan,Acevedo,Juan Carlos,245.0,74.0,R,R,1995-04-30,aceveju01,2003-08-05,acevj001,,1970-05-05
aceveal01,1982.0,12.0,8.0,San Luis Rio Colorado,Mexico,Sonora,,,,,,,Alfredo,Aceves,Alfredo,205.0,74.0,R,R,2008-08-31,aceveal01,2014-06-02,aceva001,,1982-12-08
achteaj01,1988.0,8.0,27.0,Toledo,USA,OH,,,,,,,A. J.,Achter,Adam Joseph,215.0,77.0,R,R,2014-09-03,achteaj01,2016-10-01,achta001,,1988-08-27
ackerji01,1958.0,9.0,24.0,Freer,USA,TX,,,,,,,Jim,Acker,James Justin,210.0,74.0,R,R,1983-04-07,ackerji01,1992-06-14,ackej001,,1958-09-24
ackerto01,1930.0,3.0,7.0,Paterson,USA,NJ,2021.0,1.0,4.0,USA,PA,Narvon,Tom,Acker,Thomas James,215.0,76.0,R,R,1956-04-20,ackerto01,1959-09-20,acket101,2021-01-04,1930-03-07
ackledu01,1988.0,2.0,26.0,Winston-Salem,USA,NC,,,,,,,Dustin,Ackley,Dustin Michael,205.0,73.0,L,R,2011-06-17,ackledu01,2016-05-29,ackld001,,1988-02-26
acklefr01,1937.0,4.0,10.0,Hayward,USA,WI,2002.0,5.0,22.0,USA,MN,Duluth,Fritz,Ackley,Florian Frederick,202.0,73.0,L,R,1963-09-21,acklefr01,1964-05-09,acklf101,2002-05-22,1937-04-10
acostcy01,1946.0,11.0,22.0,El Sabino,Mexico,Sinaloa,,,,,,,Cy,Acosta,Cecilio,165.0,70.0,R,R,1972-06-04,acostcy01,1975-05-05,acosc101,,1946-11-22
acosted01,1944.0,3.0,9.0,Boquete,Panama,Chiriqui,,,,,,,Ed,Acosta,Eduardo Elixbet,215.0,77.0,B,R,1970-09-07,acosted01,1972-10-04,acose101,,1944-03-09
acostjo01,1891.0,3.0,4.0,Havana,Cuba,La Habana,1977.0,11.0,16.0,Cuba,La Habana,Havana,Jose,Acosta,Jose,134.0,66.0,R,R,1920-07-28,acostjo01,1922-05-12,acosj101,1977-11-16,1891-03-04
acostma01,1981.0,5.0,1.0,Colon,Panama,Colon,,,,,,,Manny,Acosta,Manuel Alcides,215.0,76.0,R,R,2007-08-12,acostma01,2012-10-03,acosm001,,1981-05-01
acostme01,1896.0,5.0,19.0,Bauta,Cuba,Artemisa,1963.0,11.0,17.0,USA,FL,Miami,Merito,Acosta,Baldomero Pedro,140.0,67.0,L,L,1913-06-05,acostme01,1918-09-02,acosm101,1963-11-17,1896-05-19
acrema01,1968.0,9.0,16.0,Concord,USA,CA,,,,,,,Mark,Acre,Mark Robert,235.0,80.0,R,R,1994-05-13,acrema01,1997-05-10,acrem001,,1968-09-16
actama99,1969.0,1.0,11.0,San Pedro de Macoris,D.R.,San Pedro de Macorís,,,,,,,Manny,Acta,Manuel Elias,172.0,74.0,R,R,,actama99,,actam801,,1969-01-11
actonga01,1998.0,6.0,15.0,Naperville,USA,IL,,,,,,,Garrett,Acton,Garrett Patrick,215.0,74.0,L,R,2023-05-14,actonga01,2023-05-28,actog001,,1998-06-15
acunalu01,2002.0,3.0,12.0,Caracas,Venezuela,Distrito Capital,,,,,,,Luisangel,Acuña,Luisangel Jose,181.0,68.0,R,R,2024-09-14,acunajo01,,acunl001,,2002-03-12
acunaro01,1997.0,12.0,18.0,La Guaira,Venezuela,Vargas,,,,,,,Ronald,Acuña,Ronald Jose,205.0,72.0,R,R,2018-04-25,acunaro01,,acunr001,,1997-12-18
adairbi99,1913.0,2.0,10.0,Mobile,USA,AL,2002.0,6.0,17.0,USA,AL,Bay Minette,Bill,Adair,Marion Danne,168.0,72.0,R,R,,adairbi99,,adaib801,2002-06-17,1913-02-10
adairje01,1936.0,12.0,17.0,Sand Springs,USA,OK,1987.0,5.0,31.0,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175.0,72.0,R,R,1958-09-02,adairje01,1970-05-03,adaij101,1987-05-31,1936-12-17
adairji01,1907.0,1.0,25.0,Waxahachie,USA,TX,1982.0,12.0,9.0,USA,TX,Farmers Branch,Jimmy,Adair,James Aubrey,154.0,70.0,R,R,1931-08-24,adairji01,1931-09-07,adaij102,1982-12-09,1907-01-25
adamja01,1991.0,8.0,4.0,Omaha,USA,NE,,,,,,,Jason,Adam,Jason Kendall,229.0,75.0,R,R,2018-05-05,adamja01,,adamj002,,1991-08-04
adamecr01,1991.0,7.0,26.0,Santo Domingo,D.R.,Distrito Nacional,,,,,,,Cristhian,Adames,Cristhian Pascual,217.0,71.0,B,R,2014-07-29,adamecr01,2019-09-29,adamc001,,1991-07-26
adamewi01,1995.0,9.0,2.0,Santiago,D.R.,Santiago,,,,,,,Willy,Adames,Willy Rafael,210.0,72.0,R,R,2018-05-22,adamewi01,,adamw002,,1995-09-02
adamsac01,1910.0,3.0,2.0,Willows,USA,CA,2006.0,2.0,26.0,USA,GA,Albany,Ace,Adams,Ace Townsend,182.0,70.0,R,R,1941-04-15,adamsac01,1946-04-24,adama101,2006-02-26,1910-03-02
adamsau01,1986.0,8.0,19.0,Montgomery,USA,AL,,,,,,,Austin,Adams,Austin David,205.0,71.0,R,R,2014-07-12,adamsau01,2019-07-06,adama001,,1986-08-19
adamsau02,1991.0,5.0,5.0,Tampa,USA,FL,,,,,,,Austin,Adams,Austin Lance,220.0,75.0,R,R,2017-07-15,adamsau02,,adama002,,1991-05-05
adamsba01,1882.0,5.0,18.0,Tipton,USA,IN,1968.0,7.0,27.0,USA,MD,Silver Spring,Babe,Adams,Charles Benjamin,185.0,71.0,L,R,1906-04-18,adamsba01,1926-08-11,adamb104,1968-07-27,1882-05-18
adamsbe01,1891.0,6.0,21.0,Wharton,USA,TX,1940.0,6.0,24.0,USA,CA,Los Angeles,Bert,Adams,John Bertram,185.0,73.0,B,R,1910-08-30,adamsbe01,1919-09-28,adamb106,1940-06-24,1891-06-21
adamsbo02,1907.0,1.0,20.0,Birmingham,USA,AL,1970.0,3.0,6.0,USA,FL,Jacksonville,Bob,Adams,Robert Andrew,165.0,72.0,R,R,1931-09-27,adamsbo02,1932-09-17,adamb102,1970-03-06,1907-01-20
adamsbo01,1901.0,7.0,24.0,Holyoke,USA,MA,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,adamsbo01,1925-09-23,adamb107,1996-10-17,1901-07-24
adamsbo04,1952.0,1.0,6.0,Pittsburgh,USA,PA,,,,,,,Bob,Adams,Robert Melvin,200.0,74.0,R,R,1977-07-10,adamsbo04,1977-09-29,adamb105,,1952-01-06
adamsbo03,1921.0,12.0,14.0,Tuolumne,USA,CA,1997.0,2.0,13.0,USA,WA,Gig Harbor,Bobby,Adams,Robert Henry,160.0,70.0,R,R,1946-04-16,adamsbo03,1959-04-22,adamb103,1997-02-13,1921-12-14
adamsbu01,1915.0,6.0,24.0,Trinidad,USA,CO,1990.0,9.0,1.0,USA,CA,Rancho Mirage,Buster,Adams,Elvin Clark,180.0,72.0,R,R,1939-04-27,adamsbu01,1947-09-21,adamb101,1990-09-01,1915-06-24
adamsch01,1994.0,8.0,10.0,Scottsdale,USA,AZ,,,,,,,Chance,Adams,Chance,215.0,73.0,R,R,2018-08-04,adamsch01,2020-09-22,adamc002,,1994-08-10
adamsda01,1887.0,6.0,19.0,St. Louis,USA,MO,1964.0,10.0,6.0,USA,MO,St. Louis,Dan,Adams,Daniel Leslie,165.0,71.0,R,R,1914-05-22,adamsda01,1915-09-26,adamd103,1964-10-06,1887-06-19
adamsda02,1987.0,5.0,15.0,Margate,USA,FL,,,,,,,David,Adams,David Lee,205.0,74.0,R,R,2013-05-15,adamsda02,2013-09-29,adamd001,,1987-05-15
adamsdi01,1920.0,4.0,8.0,Tuolumne,USA,CA,2016.0,9.0,14.0,USA,CA,Fallbrook,Dick,Adams,Richard Leroy,185.0,72.0,R,L,1947-05-20,adamsdi01,1947-09-28,adamd102,2016-09-14,1920-04-08
adamsdo99,1814.0,11.0,1.0,Mont Vernon,USA,NH,1899.0,1.0,3.0,USA,CT,New Haven,Doc,Adams,Daniel Lucius,,,,,,,,,1899-01-03,1814-11-01
adamsdo01,1943.0,1.0,27.0,Blue River,USA,WI,,,,,,,Doug,Adams,Harold Douglas,185.0,75.0,L,R,1969-09-08,adamsdo01,1969-10-01,adamd101,,1943-01-27
adamsge01,1855.0,1.0,25.0,Worcester,USA,MA,1920.0,10.0,11.0,USA,WA,Clarkston,George,Adams,George Henry,175.0,66.0,R,R,1879-06-14,adamsge01,1879-06-21,adamg102,1920-10-11,1855-01-25
adamsgl01,1947.0,10.0,4.0,Northbridge,USA,MA,,,,,,,Glenn,Adams,Glenn Charles,180.0,73.0,L,R,1975-05-04,adamsgl01,1982-10-03,adamg101,,1947-10-04
adamshe01,1928.0,4.0,14.0,Hollywood,USA,CA,2012.0,2.0,1.0,USA,OK,Tulsa,Herb,Adams,Herbert Loren,160.0,69.0,L,L,1948-09-17,adamshe01,1950-08-30,adamh101,2012-02-01,1928-04-14
adamsji01,1868.0,,,East St. Louis,USA,IL,,,,,,,Jim,Adams,James J.,148.0,66.0,,R,1890-04-21,adamsji01,1890-04-21,adamj101,,
adamsjo01,1877.0,10.0,28.0,Cowden,USA,IL,1952.0,10.0,8.0,USA,MO,Bachelor,Joe,Adams,Joseph Edward,190.0,72.0,R,L,1902-04-26,adamsjo01,1902-04-26,adamj102,1952-10-08,1877-10-28
adamsjo03,1999.0,10.0,18.0,Gulfport,USA,MS,,,,,,,Jordyn,Adams,Jordyn Bradley,181.0,74.0,R,R,2023-08-02,adamsjo03,,adamj003,,1999-10-18
adamska01,1891.0,8.0,11.0,Columbus,USA,GA,1967.0,9.0,17.0,USA,WA,Everett,Karl,Adams,Karl Tutwiler,170.0,74.0,R,R,1914-04-19,adamska01,1915-09-23,adamk101,1967-09-17,1891-08-11
adamsla01,1989.0,11.0,13.0,Talihina,USA,OK,,,,,,,Lane,Adams,Lane Weston,190.0,76.0,R,R,2014-09-01,adamsla01,2018-09-30,adaml001,,1989-11-13
adamsma01,1988.0,8.0,31.0,Philipsburg Centre County,USA,PA,,,,,,,Matt,Adams,Matthew James,245.0,75.0,L,R,2012-05-20,adamsma01,2021-07-24,adamm002,,1988-08-31
adamsmi03,1978.0,7.0,29.0,Corpus Christi,USA,TX,,,,,,,Mike,Adams,Jon Michael,210.0,77.0,R,R,2004-05-18,adamsmi03,2014-09-18,adamm001,,1978-07-29
adamsmi02,1948.0,7.0,24.0,Cincinnati,USA,OH,,,,,,,Mike,Adams,Robert Michael,180.0,69.0,R,R,1972-09-10,adamsmi02,1978-07-25,adamm102,,1948-07-24
adamsre01,1921.0,10.0,7.0,Parlier,USA,CA,2017.0,1.0,18.0,USA,CA,Fresno,Red,Adams,Charles Dwight,185.0,72.0,R,R,1946-05-05,adamsre01,1946-07-02,adamr101,2017-01-18,1921-10-07
adamsri01,1878.0,12.0,24.0,Paris,USA,TX,1955.0,3.0,10.0,USA,TX,Paris,Rick,Adams,Reuben Alexander,165.0,72.0,L,L,1905-07-13,adamsri01,1905-09-29,adamr102,1955-03-10,1878-12-24
adamsri02,1959.0,1.0,21.0,Upland,USA,CA,2011.0,10.0,28.0,USA,CA,Rancho Cucamonga,Ricky,Adams,Ricky Lee,180.0,74.0,R,R,1982-09-15,adamsri02,1985-10-05,adamr001,2011-10-28,1959-01-21
adamsri03,1996.0,6.0,26.0,Encinitas,USA,CA,,,,,,,Riley,Adams,Riley Keaton,249.0,76.0,R,R,2021-06-08,adamsri03,,adamr004,,1996-06-26
adamsru01,1980.0,8.0,30.0,Laurinburg,USA,NC,,,,,,,Russ,Adams,Russ Moore,205.0,72.0,L,R,2004-09-03,adamsru01,2009-06-30,adamr002,,1980-08-30
adamsry01,1987.0,4.0,21.0,New Orleans,USA,LA,,,,,,,Ryan,Adams,Ryan Scott,185.0,71.0,R,R,2011-05-20,adamsry01,2011-09-19,adamr003,,1987-04-21
adamssp01,1894.0,8.0,26.0,Zerbe,USA,PA,1989.0,2.0,24.0,USA,PA,Pottsville,Sparky,Adams,Earl John,151.0,65.0,R,R,1922-09-18,adamssp01,1934-09-30,adams101,1989-02-24,1894-08-26
adamssp02,1898.0,6.0,21.0,Layton,USA,UT,1970.0,11.0,24.0,USA,UT,Salt Lake City,Spencer,Adams,Spencer Dewey,158.0,69.0,L,R,1923-04-22,adamssp02,1927-10-02,adams102,1970-11-24,1898-06-21
adamste01,1973.0,3.0,6.0,Mobile,USA,AL,,,,,,,Terry,Adams,Terry Wayne,180.0,75.0,R,R,1995-08-10,adamste01,2005-05-23,adamt001,,1973-03-06
adamswi01,1890.0,9.0,27.0,Clearfield,USA,PA,1937.0,6.0,18.0,USA,NY,Albany,Willie,Adams,James Irvin,180.0,76.0,R,R,1912-06-30,adamswi01,1919-09-06,adamw101,1937-06-18,1890-09-27
adamswi02,1972.0,10.0,8.0,Gallup,USA,NM,,,,,,,Willie,Adams,William Edward,215.0,79.0,R,R,1996-06-11,adamswi02,1997-08-14,adamw001,,1972-10-08
adamsjo02,1971.0,7.0,2.0,Lakewood,USA,CA,,,,,,,Joel,Adamson,Joel Lee,185.0,76.0,L,L,1996-04-10,adamsjo02,1998-04-26,adamj001,,1971-07-02
adamsmi01,1947.0,9.0,13.0,San Diego,USA,CA,2022.0,5.0,7.0,USA,CO,Monument,Mike,Adamson,John Michael,185.0,74.0,R,R,1967-07-01,adamsmi01,1969-05-07,adamm101,2022-05-07,1947-09-13
adcocjo01,1927.0,10.0,30.0,Coushatta,USA,LA,1999.0,5.0,3.0,USA,LA,Coushatta,Joe,Adcock,Joseph Wilbur,210.0,76.0,R,R,1950-04-23,adcocjo01,1966-10-01,adcoj101,1999-05-03,1927-10-30
adcocna01,1988.0,2.0,25.0,Elizabethtown,USA,KY,,,,,,,Nathan,Adcock,Nathan Masler,235.0,76.0,R,R,2011-03-31,adcocna01,2015-07-26,adcon001,,1988-02-25
adcocty01,1997.0,2.0,7.0,Oxford,USA,NC,,,,,,,Ty,Adcock,Tyler Nathan McKenzie,213.0,72.0,R,R,2023-06-12,adcocty01,,adcot001,,1997-02-07
addisbo01,1925.0,11.0,6.0,Mineral,USA,OH,2016.0,11.0,15.0,USA,OH,Mentor,Bob,Addis,Robert Gordon,175.0,72.0,L,R,1950-09-01,addisbo01,1953-06-12,addib101,2016-11-15,1925-11-06
adducji01,1959.0,8.0,9.0,Chicago,USA,IL,,,,,,,Jim,Adduci,James David,200.0,77.0,L,L,1983-09-12,adducji01,1989-07-26,adduj001,,1959-08-09
adducji02,1985.0,5.0,15.0,Burnaby,CAN,BC,,,,,,,Jim,Adduci,Jim Charles,210.0,74.0,L,L,2013-09-01,adducji02,2019-06-01,adduj002,,1985-05-15
addybo01,1842.0,2.0,,Port Hope,CAN,ON,1910.0,4.0,9.0,USA,ID,Pocatello,Bob,Addy,Robert Edward,160.0,68.0,L,L,1871-05-06,addybo01,1877-10-06,addyb101,1910-04-09,
adelljo01,1999.0,4.0,8.0,Shelby,USA,NC,,,,,,,Jo,Adell,Jordon Scott,215.0,75.0,R,R,2020-08-04,adelljo01,,adelj001,,1999-04-08
adenhni01,1986.0,8.0,24.0,Silver Spring,USA,MD,2009.0,4.0,9.0,USA,CA,Orange,Nick,Adenhart,Nicholas James,185.0,75.0,R,R,2008-05-01,adenhni01,2009-04-08,adenn001,2009-04-09,1986-08-24
aderhmo01,1915.0,9.0,13.0,Mount Olive,USA,NC,1955.0,3.0,18.0,USA,FL,Sarasota,Morrie,Aderholt,Morris Woodrow,188.0,73.0,L,R,1939-09-13,aderhmo01,1945-09-30,aderm101,1955-03-18,1915-09-13
adkinde01,1918.0,5.0,11.0,Norcatur,USA,KS,1998.0,12.0,26.0,USA,CA,Santa Monica,Dewey,Adkins,John Dewey,195.0,74.0,R,R,1942-09-19,adkinde01,1949-10-02,adkid103,1998-12-26,1918-05-11
adkindi01,1920.0,3.0,3.0,Electra,USA,TX,1955.0,9.0,12.0,USA,TX,Electra,Dick,Adkins,Richard Earl,165.0,70.0,R,R,1942-09-19,adkindi01,1942-09-20,adkid101,1955-09-12,1920-03-03
adkingr01,1897.0,6.0,29.0,Jacksonville,USA,AR,1966.0,3.0,31.0,USA,AR,Little Rock,Grady,Adkins,Grady Emmett,175.0,71.0,R,R,1928-04-13,adkingr01,1929-10-05,adkig101,1966-03-31,1897-06-29
